ID,movie_name,year,Timing(min),Rating(10),Votes,Genre,Language
tt2777694,beru,2005.0,104 min,8.3,19,Drama            ,kannada
tt2613436,paigham,1988.0,168 min,-,-,Fantasy            ,hindi
-,akela,2000.0,-,-,-,Drama            ,hindi
tt13088566,the rubiks game,2014.0,30 min,-,-,"Short, Thriller            ",malayalam
tt9053354,anthervedam,2018.0,-,-,-,Thriller            ,telugu
tt13605848,enakkul oru kadhal,2009.0,97 min,-,-,Drama            ,tamil
tt1283527,samsara nauka,1989.0,-,-,-,-,kannada
tt0248294,patthe bapurao,1950.0,143 min,-,-,-,marathi
tt0352979,vida parayaanmathram,1988.0,-,-,-,-,malayalam
tt5278634,white,2000.0,149 min,3.0,471,Romance            ,malayalam
tt0283028,sayahnam,2000.0,-,7.0,10,-,malayalam
tt14045622,preetam,2021.0,-,9.0,15,Romance            ,marathi
tt3952870,britto,2014.0,124 min,7.5,12,Drama            ,bengali
tt0252229,amrutha geetham,1982.0,-,-,-,-,malayalam
tt4960730,pyar ka jigar,2003.0,-,-,-,Romance            ,hindi
tt0250747,stalin sivadas,1999.0,118 min,2.7,47,"Action, Thriller            ",malayalam
tt0352287,dheeran,1987.0,-,-,-,-,malayalam
tt0262446,gopichand jasoos,1982.0,150 min,5.9,123,"Comedy, Thriller            ",hindi
-,vikrant rona,2021.0,-,-,-,"Action, Adventure, Fantasy            ",kannada
tt0995840,joy: the real love story,2007.0,127 min,2.1,"1,601","Drama, Romance, Thriller            ",hindi
tt0104098,dharavi,1992.0,120 min,7.1,282,"Crime, Drama            ",hindi
tt0280817,kamadhenu,1976.0,-,-,-,-,malayalam
tt1593777,sansarer itikatha,1983.0,-,-,-,Drama            ,bengali
tt10160924,shani arshad: adha adha,2000.0,5 min,-,-,"Short, Music            ",urdu
tt5771640,noces,2016.0,98 min,7.1,"1,360",Drama            ,oriya
-,tu heer main tera hero,2000.0,-,-,-,Comedy            ,urdu
tt1441323,madi veetu ezhai,1981.0,-,-,-,-,tamil
tt4007298,khoobsurat kali,2003.0,-,-,-,Thriller            ,hindi
tt0246877,puthayal,1997.0,144 min,5.9,51,-,tamil
tt0320701,urimai,1985.0,-,-,-,-,tamil
tt0266290,babai abbai,1984.0,117 min,6.3,102,"Comedy, Romance            ",telugu
tt1217608,yaar meri zindagi,2008.0,-,4.8,39,"Drama, Family, Musical            ",hindi
tt4912546,denied: a life confined,2000.0,22 min,-,-,Documentary            ,nepali
tt1237894,jhoomar,2007.0,-,6.9,7,-,oriya
tt3982578,hututu,2014.0,138 min,5.0,5,Comedy            ,marathi
tt1663663,parchhaeen,1989.0,-,-,-,Thriller            ,hindi
tt0231352,chettathi,1965.0,-,-,-,-,kannada
tt0083063,sharda,1981.0,126 min,5.5,19,"Drama, Family            ",hindi
tt10902596,satyanweshi byomkesh,2019.0,108 min,6.5,267,"Crime, Mystery, Thriller            ",bengali
tt4271912,mahan,1996.0,132 min,6.0,8,"Drama, Family            ",bengali
tt2132465,takht-o-taj,1970.0,-,-,-,-,urdu
-,death match,2000.0,-,-,-,"Action, Adventure, Thriller            ",nepali
tt1537032,kanthaswamy,2009.0,190 min,5.0,"1,567","Action, Crime            ",tamil
tt0432188,vishwa thulasi,2004.0,-,6.1,32,"Drama, Musical, Romance            ",tamil
tt7757972,saakshyam,2018.0,166 min,4.7,437,Action            ,telugu
tt3908750,circus queen,1959.0,-,-,-,Action            ,hindi
tt4489064,"haseena: smart, sexy, dangerous",2006.0,-,-,-,Thriller            ,hindi
tt6759286,seemana,1996.0,-,8.9,8,"Action, Drama            ",nepali
tt6577668,weather report,2017.0,91 min,-,-,Drama            ,marathi
tt2522328,shutter,2012.0,133 min,7.7,"1,017",Thriller            ,malayalam
tt2375283,maithaanam,2011.0,125 min,5.9,7,"Drama, Family, Mystery            ",tamil
tt2317103,sons of ram,2012.0,85 min,6.6,76,"Animation, Drama, Musical            ",tamil
tt14231578,duti mon,2011.0,-,-,-,Drama            ,bengali
tt1575691,swapna lokam,1999.0,-,-,-,Romance            ,telugu
tt0376061,pattalam,2003.0,159 min,5.1,316,"Action, Comedy, Drama            ",malayalam
tt14075090,the twelve thousand,2020.0,28 min,-,-,"Short, Drama            ",nepali
tt13546104,indulekha (malayalam),2000.0,22 min,-,-,Drama            ,malayalam
tt0240945,sukham sukhakaram,1994.0,-,-,-,-,malayalam
tt0297378,santa,1961.0,-,-,-,Drama            ,telugu
tt3207826,mullamottum munthiricharum,2012.0,-,4.3,14,Drama            ,malayalam
tt1577050,fired,2000.0,87 min,4.4,260,Horror            ,hindi
tt0225515,dillagi,1999.0,188 min,5.3,"1,068","Drama, Musical, Romance            ",hindi
tt13606792,nesi,2009.0,-,-,-,Drama            ,tamil
tt1530891,kaana kanmani,2009.0,132 min,4.4,106,"Drama, Horror            ",malayalam
tt0186871,bhagwaan dada,1986.0,147 min,4.3,167,"Drama, Thriller            ",hindi
tt10919164,a 2nd hand lover,2015.0,135 min,-,-,Romance            ,kannada
tt2791100,sampoorna sant darshanam,1978.0,-,-,-,Drama            ,hindi
tt0273446,avar enakke sontham,1977.0,66 min,-,-,-,tamil
tt1986813,dharti ke god mein,1971.0,-,-,-,Drama            ,hindi
tt1449278,valar pirai,1962.0,-,-,-,-,tamil
tt11086844,shaitaan: a vision of madness,2018.0,65 min,-,-,Thriller            ,hindi
tt13724328,haaru hakkiyaneri,2010.0,-,-,-,Drama            ,kannada
tt0259494,payal ki jhankar,1968.0,132 min,4.4,12,"Action, Adventure, Comedy            ",hindi
tt3417786,juniors,2003.0,-,5.2,13,Romance            ,telugu
tt0299078,palkon ki chhaon mein,1977.0,127 min,7.5,65,"Drama, Romance            ",hindi
tt0384918,dil ka sathi dil,1982.0,-,6.7,18,Romance            ,hindi
tt3454974,mounamelanoyi,2002.0,154 min,6.7,16,Romance            ,telugu
tt0032951,punar milan,1940.0,-,-,-,"Drama, Romance            ",hindi
tt5281434,maa shakti,2000.0,-,8.4,15,History            ,malayalam
tt11766304,let's break up,2020.0,-,-,-,-,kannada
tt7831920,hirer shikal,1988.0,126 min,-,-,"Drama, Romance            ",bengali
tt6917966,mohanlal,2018.0,150 min,4.5,507,Comedy            ,malayalam
tt0038475,dharti ke lal,1950.0,125 min,6.4,16,"Drama, History            ",hindi
tt8925172,angadipattu,2000.0,23 min,-,-,Comedy            ,malayalam
tt1092005,golmaal returns,2008.0,135 min,5.1,"7,115","Comedy, Crime, Mystery            ",hindi
tt4003012,the journey within,2015.0,78 min,7.0,35,"Documentary, Music            ",oriya
tt0305692,janma bhoomi,1995.0,-,8.0,6,Drama            ,nepali
tt7971756,inspector gullu,2018.0,124 min,6.8,32,Action            ,hindi
tt1857670,deiva thirumagal,2011.0,166 min,8.1,"4,954",Drama            ,tamil
tt5267296,aaj ka inteqaam,1991.0,-,-,-,Thriller            ,hindi
tt2713666,tuch khari gharchi laxmi,2011.0,115 min,-,-,Drama            ,marathi
tt4384242,pataas,2015.0,127 min,6.7,758,"Action, Comedy            ",telugu
-,ram,2022.0,-,-,-,"Action, Crime, Thriller            ",malayalam
tt0390271,monagadu,1976.0,151 min,-,-,"Crime, Drama            ",telugu
tt0091320,kala dhanda goray log,1986.0,158 min,5.7,35,"Drama, Family            ",hindi
tt7817140,vishwaguru,2017.0,-,-,-,Biography            ,malayalam
tt10964430,thappad,2000.0,142 min,6.8,"14,626",Drama            ,hindi
tt1351669,talentime,2009.0,120 min,6.8,183,Drama            ,tamil
tt8298414,maan bhi jao sanam,2000.0,49 min,-,-,Comedy            ,urdu
tt4899880,shah,2015.0,109 min,8.5,"1,392","Biography, Drama, Sport            ",urdu
tt13004148,harsha varsha jayaraj,2020.0,-,8.0,6,"Short, Comedy            ",malayalam
tt1268309,yeh kaise hua,1984.0,-,-,-,-,urdu
tt0271949,adavukal pathinettu,1978.0,-,-,-,-,malayalam
tt0254181,bhale papa,1971.0,-,-,-,-,telugu
tt0243513,raakhi ki saugandh,1979.0,-,-,-,"Action, Crime, Drama            ",hindi
tt12258568,khara varasdar,1986.0,-,-,-,Drama            ,marathi
tt1645102,lakhon fasane,1961.0,-,-,-,Drama            ,urdu
-,vallam kali,2000.0,86 min,-,-,Documentary            ,malayalam
tt2334779,qissa: the tale of a lonely ghost,2013.0,109 min,6.7,896,"Drama, Fantasy, Horror            ",punjabi
tt8364128,amma i love you,2018.0,147 min,7.4,55,Drama            ,kannada
tt8665904,kahi katai,2018.0,-,-,-,Family            ,nepali
tt11292062,adhiktam,2020.0,45 min,-,-,"Action, Comedy            ",hindi
tt0259479,oru vasantha geetham,1994.0,-,4.7,9,-,tamil
