movie_id,movie_name,year,genre,overview,director,cast
tt1050739,roadside romeo,2008.0,"Animation, Adventure, Comedy","This is the story of Romeo. A dude who was living the life. He had the works - the mansion to live in, the chicks to party with and the cars to be driven around in. Until one day, the ...                See full summary »",Jugal Hansraj,"Saif Ali Khan, Kareena Kapoor, Jaaved Jaaferi, Vrajesh Hirjee"
tt13878694,maarrich,2022.0,"Crime, Mystery, Thriller",A police official starts a wild goose chase to find a murderer. The journey unfolds deep dark secrets from the past which leads to a spine chilling face off in the finale,Dhruv Lather,"Tusshar Kapoor, Chelsha Gosai, Aakash Dahiya, Rahul Dev"
tt28089784,punjab '95,2012.0,"Biography, Crime, Drama",Based on the life of prominent human rights activist jaswant singh kalra.,Honey Trehan,"Arjun Rampal, Suvinder Vicky, Diljit Dosanjh, Varun Badola"
tt0449228,dosti: friends forever,2005.0,"Drama, Romance","Karan Thapar, a wealthy young man, is saved by Raj Malhotra, a poor guy, from a near-death accident, which gives rise to their unending tale of friendship and brotherhood.",Suneel Darshan,"Akshay Kumar, Bobby Deol, Kareena Kapoor, Lara Dutta"
tt0120551,ziddi,1997.0,"Action, Drama","It is the story of a hot-tempered and stubborn man Deva, who is feared because of his ruthless ways and severe punishment to the local hoodlums. Later, Deva avenges the death of his brother and sister.",Guddu Dhanoa,"Sunny Deol, Raveena Tandon, Anupam Kher, Ashish Vidyarthi"
tt0138411,dushmun,1971.0,Drama,"A truck-driver accused of killing a man is sentenced to providing for the family of his victim. His interactions with the victim's village, as well as that person's widow and orphan, is the story.",Dulal Guha,"Meena Kumari, Mumtaz Askari, Rajesh Khanna, Kumari Naaz"
tt6986710,the accidental prime minister,2019.0,"Biography, Drama",Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.,Vijay Ratnakar Gutte,"Anupam Kher, Akshaye Khanna, Suzanne Bernert, Vipin Sharma"
tt0395715,preetam,1971.0,"Comedy, Romance","Rukmani gets married to Rana and faces endless abuse and beatings which do not end even when she gets pregnant. The Police arrest Rana for Robbery, try him in Court and sentence him to ...                See full summary »",Bhappi Sonie,"Shammi Kapoor, Leena Chandavarkar, Helen, Vinod Khanna"
tt6593054,drive,2019.0,"Action, Crime, Thriller","A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",Tarun Mansukhani,"Sushant Singh Rajput, Jacqueline Fernandez, Vikramjeet Virk, Sapna Pabbi"
tt27862531,ajmer 92,2023.0,"Crime, Drama, History",The true events of the gang rape and blackmailing of over one hundred school and college-age girls in Ajmer.,Pushpendra Singh,"Karan Verma, Sumit Singh, Rajesh Sharma, Ishan Mishra"
tt15502162,hindutva,2022.0,Drama,"The depths of Hinduism is seen through its principal characters.Friendship, love and student politics are put in place.",Karan Razdan,"Agast Anand, Shiven Basnet, Surmeet Basra, Sonarika Bhadoria"
tt10964468,shakuntala devi,2020.0,"Biography, Drama","Shakuntala Devi, a mathematician's journey to become 'The Human Computer' and her relationship with her daughter.",Anu Menon,"Vidya Balan, Adi Chugh, Sanya Malhotra, Jisshu Sengupta"
tt0953306,anwar,2007.0,"Drama, Romance, Thriller","Anwar, a middle-class Muslim, falls in love with Mehru, a Hindu girl. Post her death, he is caught by the police and a misunderstanding leads them to believe that he is a terrorist.",Manish Jha,"Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala, Rajpal Naurang Yadav"
tt0415003,garv: pride and honour,2004.0,"Action, Crime, Drama",An honest and decorated police officer is arrested on charges of mass murder and trapped in a corrupt political system which sends him sinking into deeper and deeper trouble.,Puneet Issar,"Salman Khan, Shilpa Shetty Kundra, Arbaaz Khan, Akanksha Malhotra"
